Happy,Angry,Surprise,Sad,Fear,emotion
0.0,0.0,0.125,0.46,0.41500000000000004,sad
0.095,0.065,0.10500000000000001,0.395,0.33999999999999997,sad
0.07333333333333335,0.03,0.17,0.11666666666666668,0.27666666666666667,fear
0.25,0.0,0.0,0.5,0.25,sad
0.0,0.0,0.0,0.67,0.33,sad
0.0,0.0,0.0,0.2,0.8,fear
0.12,0.016666666666666666,0.0,0.4366666666666667,0.43,sad
0.0,0.0,0.2,0.2,0.6,fear
0.18,0.0,0.0,0.36,0.45,fear
0.5,0.0,0.0,0.0,0.5,happy
0.035,0.0,0.25,0.38999999999999996,0.32,sad
0.185,0.335,0.085,0.0,0.4,fear
0.0,0.0,0.0,0.37,0.63,fear
0.17,0.035,0.15000000000000002,0.16999999999999998,0.47500000000000003,fear
0.22,0.0,0.0,0.33,0.44,fear
0.07,0.02,0.09,0.4,0.42,fear
0.335,0.0,0.195,0.095,0.375,fear
0.0,0.0,0.0,0.0,1.0,fear
0.0,0.25,0.0,0.5,0.25,sad
0.29,0.0,0.0,0.0,0.71,fear
0.0,0.0,0.18,0.27,0.55,fear
1.0,0.0,0.0,0.0,0.0,happy
0.0,0.0,0.17,0.17,0.67,fear
0.245,0.02,0.245,0.135,0.355,fear
0.08,0.08,0.5,0.33,0.0,surprise
0.25,0.0,0.12,0.25,0.38,fear
0.02666666666666667,0.02666666666666667,0.25,0.28,0.4166666666666667,fear
0.44,0.0,0.33,0.11,0.11,happy
0.06,0.06,0.09,0.21,0.58,fear
0.08,0.0,0.31,0.095,0.515,fear
0.0,0.0,0.0,0.0,1.0,fear
0.5,0.0,0.17,0.33,0.0,happy
0.030000000000000002,0.012857142857142857,0.08714285714285715,0.4,0.4714285714285714,fear
0.0,0.05,0.2,0.35,0.4,fear
0.0,0.0,0.0,0.0,0.0,happy
0.125,0.125,0.125,0.5,0.125,sad
0.0,0.0,0.0,1.0,0.0,sad
0.13,0.03,0.03,0.39,0.42,fear
0.0,0.0,0.0,0.0,1.0,fear
0.2,0.3,0.1,0.0,0.4,fear
0.07,0.0,0.0,0.21,0.71,fear
0.0775,0.0075,0.2125,0.1275,0.3275,fear
0.07,0.07,0.0,0.36,0.5,fear
0.09,0.03,0.26,0.17,0.46,fear
0.0,0.0,0.23,0.46,0.31,sad
0.03,0.0,0.39999999999999997,0.06666666666666667,0.5033333333333333,fear
0.0,0.0,0.0,0.27,0.73,fear
0.17,0.0,0.17,0.33,0.33,sad
0.2,0.2,0.0,0.3,0.3,sad
0.11,0.0,0.17,0.39,0.33,sad
0.1,0.0,0.05,0.29,0.57,fear
0.0,0.06,0.06,0.24,0.65,fear
0.16,0.02,0.09,0.32,0.41,fear
0.0,0.16666666666666666,0.04,0.29333333333333333,0.5,fear
0.29,0.06,0.09166666666666667,0.21,0.34833333333333333,fear
0.2,0.0,0.0,0.13,0.67,fear
0.1,0.0,0.0,0.3,0.6,fear
0.03833333333333333,0.21333333333333335,0.021666666666666667,0.23833333333333329,0.48666666666666664,fear
0.02666666666666667,0.01,0.06,0.32666666666666666,0.24666666666666667,sad
0.12,0.04,0.19,0.13,0.52,fear
0.0,0.0,0.0,0.2,0.8,fear
0.133,0.014000000000000002,0.025,0.146,0.382,fear
0.0,0.0,0.12,0.0,0.88,fear
0.0,0.0,0.225,0.1,0.675,fear
0.0,0.08333333333333333,0.08333333333333333,0.22333333333333336,0.61,fear
0.295,0.0,0.09,0.09,0.525,fear
0.0,0.17,0.06,0.28,0.5,fear
0.26,0.11,0.11,0.16,0.37,fear
0.05333333333333334,0.02666666666666667,0.06666666666666667,0.08,0.7733333333333334,fear
0.12,0.12,0.25,0.38,0.12,sad
0.29,0.0,0.0,0.14,0.57,fear
0.2,0.0,0.2,0.2,0.4,fear
0.62,0.0,0.12,0.25,0.0,happy
0.05,0.015,0.0775,0.245,0.365,fear
0.0,0.0,0.33,0.0,0.67,fear
0.12,0.06,0.06,0.06,0.71,fear
0.0,0.0,0.0,0.0,1.0,fear
0.0,0.047142857142857146,0.03142857142857143,0.03571428571428571,0.6,fear
0.11333333333333334,0.02,0.18333333333333335,0.26666666666666666,0.42333333333333334,fear
0.0,0.0,0.24,0.29,0.47,fear
0.08,0.08,0.08,0.25,0.5,fear
0.16999999999999998,0.0275,0.1125,0.245,0.4425,fear
0.1,0.0,0.03,0.28,0.585,fear
0.1416666666666667,0.0,0.0,0.23666666666666666,0.6216666666666667,fear
0.0,0.0,0.1,0.42500000000000004,0.475,fear
0.0,0.0,0.0,0.165,0.335,fear
0.0,0.0,1.0,0.0,0.0,surprise
